날짜,셀퓨전씨,에스네이처,오브제,정샘물뷰티,지베르니,연령대
2024-02-19,56.49011,15.50352,0.20459,65.90134,20.52739,30대
2024-02-26,53.2621,20.14094,0.15912,88.24732,24.5283,30대
2024-03-04,57.08115,19.91361,0.04546,95.38531,27.46078,30대
2024-03-11,49.14753,13.82132,0.13639,84.13275,24.89202,30대
2024-03-18,56.74016,15.29893,0.13639,79.97272,27.52898,30대
2024-03-25,51.71629,15.75358,0.18185,100.0,32.07547,30대
2024-04-01,55.83087,17.61764,0,93.74857,25.68765,30대
2024-04-08,59.24073,18.79972,0.02273,85.01932,24.66469,30대
2024-04-15,65.90134,18.27688,0,81.97317,26.57422,30대
2024-04-22,56.5583,15.54898,0,66.9243,25.09661,30대
2024-04-29,59.60445,17.32211,0.04546,57.42214,25.93771,30대
2024-05-06,61.26392,19.52716,0.09092,59.67265,26.84701,30대
2024-05-13,54.92157,18.73152,0.09092,59.62718,25.46033,30대
2024-05-20,60.10456,19.93634,0.06819,57.33121,26.11957,30대
2024-05-27,66.96976,21.73221,0.09092,61.10479,23.77813,30대
2024-06-03,67.37894,20.3228,0.15912,59.64992,25.09661,30대
2024-06-10,62.17322,16.45828,0,54.1032,30.57513,30대
2024-06-17,57.99045,15.54898,0,49.42032,20.3228,30대
2024-06-24,57.604,17.11752,0.06819,47.80631,18.23141,30대
2024-07-01,56.14912,17.29938,0.11366,47.19254,18.11775,30대
2024-07-08,50.82973,15.73084,0.09092,52.76199,18.98158,30대
2024-07-15,48.44282,17.64037,0.18185,46.41964,19.29984,30대
2024-07-22,47.89724,18.11775,0.02273,46.69243,16.45828,30대
2024-07-29,54.28506,19.54989,0,41.94135,17.5949,30대
2024-08-05,48.71561,19.2771,0.06819,46.3969,18.20868,30대
2024-08-12,44.41918,17.36758,0,44.48738,28.34735,30대
2024-08-19,42.14594,17.09479,0,50.807,46.71516,30대
2024-08-26,43.75994,21.34576,0.11366,60.71834,36.12184,30대
2024-09-02,47.87451,21.64128,0.18185,60.78654,29.62036,30대
2024-09-09,36.53102,20.57285,0.04546,51.39804,23.41441,30대
2024-09-16,37.66765,15.9127,0.02273,54.92157,22.16412,30대
2024-09-23,39.50897,17.79949,0.15912,57.44487,28.7338,30대
2024-09-30,37.48579,16.77654,0,55.76267,23.25528,30대
2024-10-07,34.6897,16.43555,0.04546,54.35326,22.8461,30대
2024-10-14,42.2596,18.93612,0.02273,58.71789,24.71016,30대
2024-10-21,42.50966,18.95885,0.04546,61.8095,20.09547,30대
2024-10-28,42.96431,20.34553,0.04546,62.26415,18.61786,30대
2024-11-04,46.80609,21.25483,0.11366,75.4035,17.82223,30대
2024-11-11,45.7604,16.84473,0.09092,79.69993,31.41623,30대
2024-11-18,43.82814,19.11798,0.22732,53.03478,18.11775,30대
2024-11-25,41.73675,21.73221,0.02273,54.73971,14.20777,30대
2024-12-02,42.87338,21.8004,0.06819,89.38395,15.25346,30대
2024-12-09,40.87292,18.98158,0.15912,65.83314,14.20777,30대
2024-12-16,37.80404,18.29961,0.13639,51.89815,14.04864,30대
2024-12-23,37.16753,16.27642,0.02273,61.08206,11.75267,30대
2024-12-30,34.53057,19.20891,0.04546,49.73857,13.84405,30대
2025-01-06,41.12298,23.16435,0.02273,58.49056,15.9809,30대
2025-01-13,50.69333,21.57308,0.04546,52.28461,15.34439,30대
2025-01-20,48.17003,19.14071,0.11366,49.92043,15.52625,30대
2025-01-27,38.19049,19.84541,0.29552,45.23755,12.95749,30대
2025-02-03,44.03273,24.3919,0.22732,58.03591,14.70788,30대
2025-02-10,45.14662,23.82359,0.15912,65.35576,16.34462,30대
2024-02-05,39.83912,8.54033,0,34.72912,10.43293,40대
2024-02-12,49.86988,10.6695,0,57.72415,18.05062,40대
2024-02-19,43.43506,9.69955,0.02365,42.6307,14.59664,40대
2024-02-26,40.12301,9.01348,0.04731,82.5408,16.15803,40대
2024-03-04,40.26496,9.67589,0.11828,100.0,19.42275,40대
2024-03-11,37.23681,8.42204,0.02365,87.9347,19.87224,40대
2024-03-18,45.8008,9.67589,0,80.317,21.38632,40대
2024-03-25,42.2995,10.6695,0,79.20511,21.07877,40대
2024-04-01,43.36408,9.58126,0,73.45635,18.59474,40대
2024-04-08,46.41589,10.24367,0,69.76579,18.97326,40대
2024-04-15,52.44854,9.77052,0,64.18263,17.79039,40대
2024-04-22,46.86538,9.32103,0,54.27016,16.86775,40대
2024-04-29,46.15566,10.12538,0.04731,50.53229,15.87414,40대
2024-05-06,44.47598,10.40927,0.02365,46.01372,19.3991,40대
2024-05-13,42.1339,12.32552,0.02365,45.4696,21.24438,40대
2024-05-20,47.59876,10.90607,0,46.10835,20.41637,40대
2024-05-27,44.61793,12.79867,0,45.32765,18.33451,40대
2024-06-03,45.49325,10.71682,0.11828,44.47598,19.18618,40대
2024-06-10,45.0201,9.06079,0,45.35131,19.54104,40대
2024-06-17,41.96829,8.96616,0.09462,36.50343,15.49562,40대
2024-06-24,38.06482,7.28649,0,40.2413,12.60941,40대
2024-07-01,35.72273,7.38112,0.04731,34.42157,12.65673,40대
2024-07-08,37.28412,7.61769,0.04731,34.94203,14.19446,40대
2024-07-15,33.61722,7.4994,0.04731,36.03028,13.15353,40대
2024-07-22,33.04944,10.64584,0.11828,34.5162,11.37922,40대
2024-07-29,34.09037,10.85876,0,29.19328,11.52117,40대
2024-08-05,36.81097,9.7232,0,33.12041,10.69316,40대
2024-08-12,33.45162,10.40927,0,35.4625,15.14076,40대
2024-08-19,33.0731,9.79418,0,39.55524,32.55263,40대
2024-08-26,32.88384,10.92973,0,46.39224,21.26803,40대
2024-09-02,32.74189,11.16631,0.18925,43.2458,17.8377,40대
2024-09-09,26.11781,8.77691,0,39.01111,13.74497,40대
2024-09-16,29.78471,8.94251,0.04731,46.86538,14.64395,40대
2024-09-23,30.8493,9.48663,0.02365,48.78164,21.12609,40대
2024-09-30,28.41258,10.05441,0.28388,46.62881,15.59025,40대
2024-10-07,29.78471,8.09084,0,42.20487,15.68488,40대
2024-10-14,29.35888,9.06079,0.02365,40.33593,18.92595,40대
2024-10-21,30.37615,7.87792,0.04731,41.3532,14.54932,40대
2024-10-28,30.16323,9.25005,0.09462,41.70806,13.24816,40대
2024-11-04,34.61083,12.04163,0.11828,49.37307,13.79228,40대
2024-11-11,33.00212,9.77052,0.04731,51.26567,19.3991,40대
2024-11-18,34.82375,10.78779,0.04731,35.08398,10.88242,40대
2024-11-25,31.53536,13.01159,0.02365,38.82185,9.34468,40대
2024-12-02,36.17222,13.55571,0.07097,58.22096,11.07168,40대
2024-12-09,32.38703,9.25005,0.11828,50.69789,9.34468,40대
2024-12-16,33.14407,10.57487,0.02365,37.56801,9.43931,40대
2024-12-23,32.38703,10.8351,0.09462,48.30849,8.87154,40대
2024-12-30,30.0686,10.64584,0.02365,37.63898,10.14904,40대
2025-01-06,34.98935,15.99242,0.07097,39.9101,11.47385,40대
2025-01-13,39.17672,14.3364,0.09462,38.25408,10.14904,40대
2025-01-20,38.98746,11.80506,0.02365,37.18949,11.89969,40대
2025-01-27,34.44523,11.75774,0.3312,34.94203,10.03075,40대
2025-02-03,40.97468,15.56659,0.23657,51.62053,9.17908,40대
2025-02-10,37.44972,14.14714,0.11828,54.45942,9.91246,40대
2024-02-05,26.73992,5.91313,0,27.00156,12.34955,50대
2024-02-12,30.08895,6.33176,0,44.32234,18.05337,50대
2024-02-19,27.31554,7.326,0.05232,34.43223,15.96023,50대
2024-02-26,27.89115,7.74463,0.10465,69.07378,16.32653,50대
2024-03-04,27.52485,5.8608,0,100.0,23.65253,50대
2024-03-11,25.43171,4.7619,0,84.35374,18.99529,50대
2024-03-18,30.55991,7.06436,0.10465,80.53375,18.52433,50대
2024-03-25,32.49607,6.54107,0.15698,71.4809,21.92569,50대
2024-04-01,27.62951,8.4249,0,66.14338,20.40816,50대
2024-04-08,31.34484,7.95395,0,65.93406,25.58869,50대
2024-04-15,38.30455,7.16902,0,59.34065,23.9665,50대
2024-04-22,32.60073,6.17477,0,53.21821,22.39665,50대
2024-04-29,35.32182,7.95395,0.10465,44.47933,23.54788,50대
2024-05-06,31.76347,9.5238,0,41.18262,25.06541,50대
2024-05-13,29.09471,7.43066,0.10465,37.36263,22.34432,50대
2024-05-20,32.02511,8.58189,0.05232,38.46153,24.43746,50대
2024-05-27,28.46677,8.26792,0.05232,43.22344,24.59445,50대
2024-06-03,32.49607,8.26792,0,37.10099,21.50706,50대
2024-06-10,30.19361,5.18053,0,40.39769,20.77446,50대
2024-06-17,27.05389,5.44217,0,31.29251,15.07064,50대
2024-06-24,28.51909,4.44793,0,33.69963,16.69283,50대
2024-07-01,23.33856,4.70957,0.20931,28.57142,15.80324,50대
2024-07-08,28.41444,6.38409,0,33.07169,19.51857,50대
2024-07-15,21.08843,6.85504,0,31.71114,18.41967,50대
2024-07-22,25.27472,5.91313,0.05232,36.78702,16.84981,50대
2024-07-29,25.22239,7.95395,0,24.43746,18.00104,50대
2024-08-05,22.60596,5.91313,0.05232,27.73417,13.50078,50대
2024-08-12,23.12925,6.85504,0,37.83359,14.91365,50대
2024-08-19,23.54788,4.97121,0,45.00261,26.05965,50대
2024-08-26,24.17582,7.63997,0,46.2585,21.50706,50대
