날짜,그라운드플랜,셀인샷,쏘내추럴,에스네이처,연령대
2024-02-05,53.0795,0,48.48824,40.42553,40대
2024-02-12,41.65733,0,35.05039,50.50391,40대
2024-02-19,40.87346,0,27.88353,45.91265,40대
2024-02-26,58.23068,0,32.02687,42.66517,40대
2024-03-04,76.48376,0,25.64389,45.80067,40대
2024-03-11,62.26203,0,32.81075,39.86562,40대
2024-03-18,44.68085,0,36.50615,45.80067,40대
2024-03-25,38.7458,0,26.65173,50.50391,40대
2024-04-01,61.14221,0,24.63605,45.35274,40대
2024-04-08,47.25643,0,30.79507,48.48824,40대
2024-04-15,53.63941,0,31.243,46.2486,40대
2024-04-22,48.15229,0,23.7402,44.12094,40대
2024-04-29,43.33706,0.11198,31.57894,47.92833,40대
2024-05-06,46.47256,0,25.08398,49.27211,40대
2024-05-13,46.58454,0.11198,36.61814,58.34266,40대
2024-05-20,44.79283,0.44792,31.46696,51.62374,40대
2024-05-27,49.04815,1.00783,34.82642,60.5823,40대
2024-06-03,49.38409,2.35162,29.11534,50.72788,40대
2024-06-10,57.78275,7.95072,37.51399,42.88913,40대
2024-06-17,90.48152,14.22172,31.69092,42.4412,40대
2024-06-24,57.11086,9.63045,61.59014,34.49048,40대
2024-07-01,51.39977,18.701,37.73796,34.9384,40대
2024-07-08,69.42889,8.95856,29.89921,36.05823,40대
2024-07-15,41.2094,6.60694,32.13885,35.49832,40대
2024-07-22,45.24076,5.82306,34.9384,50.39193,40대
2024-07-29,42.55319,7.72676,25.97984,51.39977,40대
2024-08-05,36.8421,8.39865,22.84434,46.02463,40대
2024-08-12,36.61814,6.60694,88.57782,49.27211,40대
2024-08-19,77.37961,9.63045,37.73796,46.36058,40대
2024-08-26,47.92833,24.07614,25.97984,51.73572,40대
2024-09-02,59.68645,14.78163,28.1075,52.85554,40대
2024-09-09,100.0,15.34154,44.23292,41.54535,40대
2024-09-16,56.43896,12.87793,26.87569,42.32922,40대
2024-09-23,31.46696,13.77379,26.87569,44.90481,40대
2024-09-30,25.30795,20.38073,30.34714,47.59238,40대
2024-10-07,27.99552,14.89361,26.09182,38.29787,40대
2024-10-14,31.69092,11.75811,30.68309,42.88913,40대
2024-10-21,34.9384,14.10974,22.39641,37.29003,40대
2024-10-28,36.50615,11.75811,25.75587,43.78499,40대
2024-11-04,30.79507,11.75811,26.76371,56.99888,40대
2024-11-11,34.37849,15.00559,31.01903,46.2486,40대
2024-11-18,37.51399,45.01679,29.00335,51.06382,40대
2024-11-25,44.90481,38.52183,25.86786,61.59014,40대
2024-12-02,50.39193,26.65173,56.77491,64.16573,40대
2024-12-09,55.43113,21.05263,38.40985,43.78499,40대
2024-12-16,48.26427,23.18029,29.22732,50.05599,40대
2024-12-23,41.88129,19.48488,47.14445,51.28779,40대
2024-12-30,52.40761,14.10974,30.68309,50.39193,40대
2025-01-06,54.9832,17.35722,26.98768,75.69988,40대
2025-01-13,43.89697,17.69316,29.67525,67.86114,40대
2025-01-20,33.48264,11.64613,37.96192,55.87905,40대
2025-01-27,31.35498,13.66181,26.98768,55.65509,40대
2025-02-03,36.8421,18.81298,29.00335,73.68421,40대
2025-02-10,42.21724,18.701,27.99552,66.96528,40대
2024-02-05,12.24188,0,24.63126,16.66666,50대
2024-02-12,9.29203,0,17.25663,17.8466,50대
2024-02-19,10.32448,0,11.65191,20.64896,50대
2024-02-26,13.71681,0,11.9469,21.8289,50대
2024-03-04,15.63421,0,17.10914,16.51917,50대
2024-03-11,12.24188,0,20.79646,13.42182,50대
2024-03-18,10.17699,0,20.50147,19.9115,50대
2024-03-25,13.42182,0.14749,15.78171,18.43657,50대
2024-04-01,12.68436,0,17.55162,23.74631,50대
2024-04-08,9.14454,0,20.50147,22.41887,50대
2024-04-15,7.22713,0,13.8643,20.20648,50대
2024-04-22,8.84955,0,16.51917,17.40412,50대
2024-04-29,8.25958,0,21.68141,22.41887,50대
2024-05-06,14.01179,0.29498,18.87905,26.84365,50대
2024-05-13,12.83185,0,21.38643,20.94395,50대
2024-05-20,10.76696,0,14.74926,24.18879,50대
2024-05-27,9.58702,0.73746,19.46902,23.30383,50대
2024-06-03,7.9646,1.03244,17.40412,23.30383,50대
2024-06-10,13.8643,2.94985,16.81415,14.60176,50대
2024-06-17,19.76401,9.73451,17.9941,15.33923,50대
2024-06-24,11.20943,7.52212,37.75811,12.53687,50대
2024-07-01,9.14454,7.37463,20.20648,13.27433,50대
2024-07-08,23.8938,3.24483,13.56932,17.9941,50대
2024-07-15,11.50442,4.86725,14.30678,19.32153,50대
2024-07-22,10.61946,5.8997,20.05899,16.66666,50대
2024-07-29,8.55457,7.07964,18.87905,22.41887,50대
2024-08-05,7.07964,12.97935,16.07669,16.66666,50대
2024-08-12,7.9646,11.79941,100.0,19.32153,50대
2024-08-19,32.89085,12.38938,23.45132,14.01179,50대
2024-08-26,16.51917,26.69616,16.22418,21.53392,50대
2024-09-02,10.61946,27.8761,15.9292,20.05899,50대
2024-09-09,12.38938,23.30383,30.97345,20.05899,50대
2024-09-16,8.84955,12.53687,18.28908,19.76401,50대
2024-09-23,7.52212,10.91445,18.14159,23.74631,50대
2024-09-30,5.16224,18.28908,14.15929,19.02654,50대
2024-10-07,7.66961,12.09439,18.43657,16.07669,50대
2024-10-14,6.93215,16.37168,19.02654,16.51917,50대
2024-10-21,6.78466,12.38938,10.32448,15.9292,50대
2024-10-28,7.07964,8.84955,15.63421,16.66666,50대
2024-11-04,7.52212,10.17699,16.81415,21.38643,50대
2024-11-11,8.40707,34.21828,20.35398,14.30678,50대
2024-11-18,8.84955,58.70206,20.35398,25.22123,50대
2024-11-25,10.76696,43.9528,12.97935,30.08849,50대
2024-12-02,7.37463,23.74631,33.9233,26.25368,50대
2024-12-09,10.02949,20.79646,21.38643,21.53392,50대
2024-12-16,12.97935,16.96165,17.10914,23.30383,50대
2024-12-23,6.19469,19.32153,35.9882,21.23893,50대
2024-12-30,10.47197,14.89675,21.53392,19.9115,50대
2025-01-06,14.01179,15.48672,14.60176,45.42772,50대
2025-01-13,10.76696,19.76401,23.30383,27.13864,50대
2025-01-20,7.52212,13.12684,28.61356,20.50147,50대
2025-01-27,3.8348,12.83185,15.19174,26.10619,50대
2025-02-03,7.37463,11.9469,19.76401,27.28613,50대
2025-02-10,10.76696,16.81415,18.28908,30.67846,50대
2024-02-05,6.87022,0,12.21374,9.54198,60대 이상
2024-02-12,3.81679,0,4.96183,12.21374,60대 이상
2024-02-19,3.81679,0,6.48854,11.0687,60대 이상
2024-02-26,4.96183,0,7.63358,6.48854,60대 이상
2024-03-04,6.87022,0,8.01526,7.2519,60대 이상
2024-03-11,6.87022,0,5.72519,12.59541,60대 이상
2024-03-18,9.54198,0,7.63358,9.54198,60대 이상
2024-03-25,7.2519,0,6.48854,11.45038,60대 이상
2024-04-01,8.01526,0,7.63358,9.1603,60대 이상
2024-04-08,6.87022,0,14.50381,9.1603,60대 이상
2024-04-15,8.01526,0,14.88549,12.21374,60대 이상
2024-04-22,4.19847,0,10.30534,11.45038,60대 이상
2024-04-29,4.96183,0,13.35877,16.03053,60대 이상
2024-05-06,6.48854,0,8.77862,8.77862,60대 이상
2024-05-13,4.19847,0,7.2519,16.41221,60대 이상
2024-05-20,6.48854,0,5.34351,10.68702,60대 이상
2024-05-27,7.2519,0.38167,6.87022,12.59541,60대 이상
2024-06-03,10.68702,1.14503,7.63358,14.12213,60대 이상
2024-06-10,9.92366,4.96183,4.96183,7.2519,60대 이상
2024-06-17,8.77862,7.63358,11.45038,8.01526,60대 이상
2024-06-24,3.81679,20.229,14.12213,11.0687,60대 이상
2024-07-01,7.2519,11.0687,9.92366,4.96183,60대 이상
2024-07-08,10.30534,9.92366,8.77862,9.1603,60대 이상
2024-07-15,6.87022,12.97709,6.48854,8.39694,60대 이상
2024-07-22,6.10687,10.68702,12.59541,12.21374,60대 이상
2024-07-29,4.96183,17.55725,8.39694,14.50381,60대 이상
2024-08-05,1.14503,15.26717,11.0687,10.30534,60대 이상
2024-08-12,3.05343,18.32061,100.0,6.10687,60대 이상
2024-08-19,15.26717,16.79389,8.39694,7.63358,60대 이상
2024-08-26,16.79389,31.67938,6.48854,14.50381,60대 이상
2024-09-02,8.01526,30.91603,5.34351,9.92366,60대 이상
2024-09-09,4.19847,23.66412,13.74045,7.2519,60대 이상
2024-09-16,9.54198,14.88549,9.54198,6.10687,60대 이상
2024-09-23,2.29007,22.51908,9.54198,8.39694,60대 이상
2024-09-30,4.58015,20.99236,11.0687,9.92366,60대 이상
2024-10-07,2.29007,17.93893,5.34351,7.2519,60대 이상
2024-10-14,4.19847,9.54198,7.63358,8.39694,60대 이상
2024-10-21,5.72519,10.68702,8.39694,4.19847,60대 이상
2024-10-28,0.76335,13.74045,7.63358,10.68702,60대 이상
2024-11-04,1.90839,14.88549,6.87022,15.64885,60대 이상
2024-11-11,3.43511,33.58778,8.01526,11.83206,60대 이상
2024-11-18,6.87022,69.46564,6.87022,11.45038,60대 이상
2024-11-25,4.19847,75.19083,8.77862,19.46564,60대 이상
2024-12-02,7.63358,43.12977,15.26717,10.68702,60대 이상
2024-12-09,8.39694,28.62595,12.97709,11.0687,60대 이상
2024-12-16,9.1603,34.73282,8.39694,7.63358,60대 이상
2024-12-23,6.10687,54.96183,18.32061,4.96183,60대 이상
2024-12-30,6.87022,31.2977,11.45038,11.83206,60대 이상
2025-01-06,8.39694,23.28244,9.54198,25.57251,60대 이상
2025-01-13,7.63358,19.84732,6.10687,14.50381,60대 이상
2025-01-20,1.90839,29.77099,12.97709,11.45038,60대 이상
2025-01-27,3.81679,23.28244,7.63358,8.01526,60대 이상
2025-02-03,4.58015,21.75572,4.19847,10.30534,60대 이상
2025-02-10,5.34351,30.91603,8.39694,11.45038,60대 이상
