날짜,에스네이처,일리윤,퓨리피아,연령대
2024-11-04,18.38565,61.8834,2.24215,60대 이상
2024-11-11,13.90134,56.05381,1.79372,60대 이상
2024-11-18,13.45291,75.33632,1.79372,60대 이상
2024-11-25,22.86995,72.64573,5.38116,60대 이상
2024-12-02,12.55605,72.1973,0.89686,60대 이상
2024-12-09,13.00448,91.03139,0.89686,60대 이상
2024-12-16,8.9686,79.37219,0.44843,60대 이상
2024-12-23,5.82959,75.78475,1.34529,60대 이상
2024-12-30,13.90134,100.0,0,60대 이상
2025-01-06,30.04484,82.51121,0.44843,60대 이상
2025-01-13,17.04035,66.81614,0.89686,60대 이상
2025-01-20,13.45291,56.05381,3.13901,60대 이상
2025-01-27,9.41704,57.84753,0.44843,60대 이상
2025-02-03,12.10762,86.99551,4.4843,60대 이상
2025-02-10,13.45291,90.13452,0.44843,60대 이상
