날짜,메이크프렘,에스네이처,일리윤,일소,휩드,연령대
2024-03-04,24.70489,17.24283,71.96458,10.37099,33.17875,40대
2024-03-11,21.92242,15.00843,70.23608,8.17875,29.72175,40대
2024-03-18,23.35581,17.24283,64.29173,10.91905,31.23946,40대
2024-03-25,22.93423,19.01349,61.29848,10.87689,23.0607,40대
2024-04-01,21.66947,17.07419,60.75042,8.60033,27.40303,40대
2024-04-08,27.36087,18.25463,53.37268,10.1602,26.68634,40대
2024-04-15,25.63237,17.41146,56.1973,25.59021,25.46374,40대
2024-04-22,26.55986,16.61045,58.17875,9.73861,27.15008,40대
2024-04-29,26.22259,18.04384,52.52951,9.82293,24.87352,40대
2024-05-06,26.47554,18.54974,59.61214,13.99662,34.4435,40대
2024-05-13,32.37774,21.96458,59.10623,10.20236,34.40134,40대
2024-05-20,31.61888,19.43507,56.1973,10.45531,35.1602,40대
2024-05-27,33.13659,22.80775,61.25632,10.41315,33.97976,40대
2024-06-03,33.01011,19.0978,55.90219,12.73187,31.11298,40대
2024-06-10,26.26475,16.14671,59.48566,10.28667,29.93254,40대
2024-06-17,24.40978,15.97807,54.80607,10.20236,34.82293,40대
2024-06-24,23.52445,12.98482,48.94603,12.22596,24.32546,40대
2024-07-01,23.39797,13.15345,51.18043,13.91231,27.15008,40대
2024-07-08,33.81112,13.57504,45.61551,14.50252,85.6661,40대
2024-07-15,24.49409,13.36424,45.06745,11.8887,36.38279,40대
2024-07-22,25.08431,18.97133,41.27318,57.79932,26.22259,40대
2024-07-29,34.99156,19.35075,38.4064,26.89713,23.0607,40대
2024-08-05,31.7032,17.32715,37.68971,17.66441,26.77065,40대
2024-08-12,31.82967,18.54974,49.83136,12.01517,37.14165,40대
2024-08-19,28.9629,17.45362,43.46543,14.08094,36.59359,40대
2024-08-26,30.9865,19.47723,43.50758,14.1231,32.75716,40대
2024-09-02,32.54637,19.89881,52.36087,14.08094,27.7403,40대
2024-09-09,23.7774,15.6408,36.46711,10.41315,50.67453,40대
2024-09-16,24.87352,15.93591,43.67622,9.9494,38.53288,40대
2024-09-23,25.33726,16.90556,58.38954,10.49747,30.60708,40대
2024-09-30,28.37268,17.91736,65.97807,8.26306,33.17875,40대
2024-10-07,24.62057,14.41821,68.63406,9.02192,33.09443,40대
2024-10-14,27.27655,16.14671,69.8145,10.41315,31.07082,40대
2024-10-21,21.66947,14.03878,69.39291,8.13659,37.94266,40대
2024-10-28,24.66273,16.48397,73.22934,11.34064,30.90219,40대
2024-11-04,28.66779,21.45868,78.37268,8.76897,44.05564,40대
2024-11-11,26.98145,17.41146,70.02529,7.58853,39.08094,40대
2024-11-18,28.20404,19.22428,82.88364,10.53962,33.47386,40대
2024-11-25,34.86509,23.18718,90.30354,9.35919,29.17369,40대
2024-12-02,29.67959,24.15682,81.57672,27.44519,33.89544,40대
2024-12-09,24.24114,16.48397,91.18887,7.96795,34.69645,40대
2024-12-16,19.98313,18.84485,86.72006,7.63069,42.3693,40대
2024-12-23,25.2951,19.3086,70.86846,8.01011,33.68465,40대
2024-12-30,18.92917,18.97133,85.49747,7.33558,28.37268,40대
2025-01-06,19.22428,28.49915,80.31197,8.13659,37.60539,40대
2025-01-13,17.53794,25.54806,78.37268,8.13659,32.9258,40대
2025-01-20,19.64586,21.03709,65.34569,8.47386,29.93254,40대
2025-01-27,25.84317,20.95278,69.43507,6.53456,27.90893,40대
2025-02-03,23.18718,27.7403,93.086,7.46205,28.79426,40대
2025-02-10,20.91062,25.21079,100.0,8.09443,31.23946,40대
2024-02-05,11.09057,10.44362,34.28835,6.28465,18.76155,50대
2024-02-12,16.91312,11.18299,45.74861,8.04066,20.51756,50대
2024-02-19,18.85397,12.939,41.4048,9.70425,20.14787,50대
2024-02-26,21.44177,13.67837,45.2865,8.87245,16.8207,50대
2024-03-04,17.19038,10.3512,52.21811,11.09057,18.66913,50대
2024-03-11,18.29944,8.41035,43.25323,8.78003,16.8207,50대
2024-03-18,17.09796,12.47689,41.31238,13.12384,13.49353,50대
2024-03-25,19.68576,11.55268,39.18669,8.50277,12.47689,50대
2024-04-01,18.94639,14.87985,37.15341,7.11645,18.5767,50대
2024-04-08,15.06469,14.04805,34.38077,8.59519,15.24953,50대
2024-04-15,20.05545,12.66173,31.33086,20.79482,10.44362,50대
2024-04-22,19.8706,10.90573,39.37153,10.53604,15.24953,50대
2024-04-29,20.60998,14.04805,33.54898,11.18299,9.88909,50대
2024-05-06,22.64325,16.8207,40.1109,13.4011,16.35859,50대
2024-05-13,24.12199,13.12384,39.09426,11.46025,15.15711,50대
2024-05-20,25.41589,15.15711,37.06099,12.56931,18.48428,50대
2024-05-27,26.70979,14.60258,36.13678,10.72088,16.17375,50대
2024-06-03,25.32347,14.60258,40.94269,13.03142,9.0573,50대
2024-06-10,18.20702,9.14972,32.90203,11.46025,14.14048,50대
2024-06-17,15.71164,9.61182,32.62476,7.30129,18.02218,50대
2024-06-24,19.03881,7.85582,28.09611,8.04066,18.20702,50대
2024-07-01,19.22365,8.31792,21.9963,11.09057,14.87985,50대
2024-07-08,24.39926,11.27541,26.89463,10.25878,48.79852,50대
2024-07-15,19.77818,12.1072,22.18114,8.96487,21.53419,50대
2024-07-22,20.24029,10.44362,27.81885,100.0,16.08133,50대
2024-07-29,27.44916,14.04805,24.67652,33.45656,13.86321,50대
2024-08-05,24.67652,10.44362,26.06284,19.13123,18.1146,50대
2024-08-12,26.61737,12.1072,29.29759,12.19963,18.29944,50대
2024-08-19,22.18114,8.78003,28.4658,11.73752,19.96303,50대
2024-08-26,22.92051,13.49353,30.40665,13.21626,20.42513,50대
2024-09-02,21.90388,12.56931,30.77634,12.75415,15.71164,50대
2024-09-09,20.24029,12.56931,24.49168,9.79667,25.04621,50대
2024-09-16,19.68576,12.38447,30.96118,8.50277,17.65249,50대
2024-09-23,17.92975,14.87985,37.33826,11.6451,18.02218,50대
2024-09-30,16.72828,11.92236,46.02587,8.78003,16.63585,50대
2024-10-07,16.26617,10.07393,48.24399,8.13308,15.9889,50대
2024-10-14,19.50092,10.3512,46.5804,11.46025,16.35859,50대
2024-10-21,15.24953,9.98151,45.19408,9.24214,17.2828,50대
2024-10-28,20.14787,10.44362,46.5804,10.07393,18.39186,50대
2024-11-04,20.60998,13.4011,50.36968,9.42698,23.19778,50대
2024-11-11,18.02218,8.96487,46.48798,8.78003,18.66913,50대
2024-11-18,16.91312,15.80406,56.09981,9.79667,20.51756,50대
2024-11-25,32.99445,18.85397,59.33456,11.46025,16.17375,50대
2024-12-02,20.88724,16.45101,52.68022,29.48243,16.45101,50대
2024-12-09,15.24953,13.49353,58.68761,7.94824,16.08133,50대
2024-12-16,14.41774,14.60258,63.77079,9.70425,18.39186,50대
2024-12-23,24.12199,13.30868,46.67282,12.56931,16.63585,50대
2024-12-30,17.2828,12.47689,60.62846,8.50277,12.56931,50대
2025-01-06,17.37523,28.4658,50.92421,10.62846,18.94639,50대
2025-01-13,14.695,17.00554,46.21072,9.79667,16.72828,50대
2025-01-20,14.97227,12.84658,43.53049,12.75415,14.04805,50대
2025-01-27,27.91127,16.35859,51.20147,6.56192,14.97227,50대
2025-02-03,19.96303,17.09796,76.34011,10.25878,15.71164,50대
2025-02-10,16.8207,19.22365,63.77079,8.04066,16.08133,50대
2024-02-05,5.56844,5.80046,29.46635,6.72853,9.04872,60대 이상
2024-02-12,9.97679,7.42459,35.0348,6.96055,8.8167,60대 이상
2024-02-19,10.67285,6.72853,26.21809,7.88863,9.97679,60대 이상
2024-02-26,7.88863,3.94431,32.01856,5.1044,9.51276,60대 이상
2024-03-04,7.65661,4.40835,30.16241,6.96055,7.88863,60대 이상
2024-03-11,7.42459,7.65661,28.7703,6.72853,7.65661,60대 이상
2024-03-18,10.20881,5.80046,25.52204,8.8167,7.88863,60대 이상
2024-03-25,7.65661,6.96055,32.71461,9.97679,3.01624,60대 이상
2024-04-01,11.83294,5.56844,25.058,9.28074,5.80046,60대 이상
2024-04-08,6.49651,5.56844,27.6102,6.03248,3.71229,60대 이상
2024-04-15,7.88863,7.42459,23.43387,9.74477,10.44083,60대 이상
2024-04-22,4.87238,6.96055,25.29002,9.04872,6.49651,60대 이상
2024-04-29,13.92111,9.74477,29.93039,9.97679,7.42459,60대 이상
2024-05-06,14.15313,5.33642,22.04176,13.68909,10.44083,60대 이상
2024-05-13,11.3689,9.97679,33.17865,10.90487,5.80046,60대 이상
2024-05-20,13.22505,6.49651,19.25754,10.20881,8.8167,60대 이상
2024-05-27,15.54524,7.65661,29.46635,11.83294,7.88863,60대 이상
2024-06-03,12.76102,8.58468,28.07424,12.06496,6.96055,60대 이상
2024-06-10,10.44083,4.40835,17.86542,9.04872,7.65661,60대 이상
2024-06-17,9.51276,4.87238,26.68213,11.60092,9.74477,60대 이상
2024-06-24,7.42459,6.72853,22.04176,7.19257,9.28074,60대 이상
2024-07-01,6.49651,3.01624,20.18561,17.16937,6.72853,60대 이상
2024-07-08,9.28074,5.56844,21.80974,8.35266,27.14617,60대 이상
2024-07-15,9.04872,5.1044,18.56148,13.68909,19.25754,60대 이상
2024-07-22,10.44083,7.42459,17.86542,100.0,5.1044,60대 이상
2024-07-29,16.00928,8.8167,16.93735,35.26682,5.56844,60대 이상
2024-08-05,9.28074,6.2645,17.63341,13.45707,8.12064,60대 이상
2024-08-12,10.20881,3.71229,21.3457,11.83294,7.65661,60대 이상
2024-08-19,10.67285,4.64037,22.96983,14.84918,6.49651,60대 이상
2024-08-26,14.61716,8.8167,17.86542,9.74477,4.64037,60대 이상
2024-09-02,11.13689,6.03248,24.82598,13.68909,6.2645,60대 이상
2024-09-09,9.04872,4.40835,13.68909,7.42459,10.44083,60대 이상
2024-09-16,10.44083,3.71229,24.59396,9.74477,7.42459,60대 이상
2024-09-23,9.28074,5.1044,32.94663,14.15313,7.19257,60대 이상
2024-09-30,9.74477,6.03248,28.53828,5.33642,7.88863,60대 이상
2024-10-07,5.80046,4.40835,30.39443,14.38515,5.56844,60대 이상
2024-10-14,10.20881,5.1044,37.12296,17.63341,9.04872,60대 이상
2024-10-21,7.42459,2.5522,25.98607,9.74477,8.58468,60대 이상
2024-10-28,9.51276,6.49651,32.71461,8.12064,8.35266,60대 이상
2024-11-04,9.74477,9.51276,32.01856,11.60092,9.51276,60대 이상
2024-11-11,15.77726,7.19257,29.00232,7.19257,8.58468,60대 이상
2024-11-18,10.44083,6.96055,38.97911,11.60092,9.97679,60대 이상
2024-11-25,15.0812,11.83294,37.587,9.51276,6.49651,60대 이상
2024-12-02,10.67285,6.49651,37.35498,36.89095,13.45707,60대 이상
2024-12-09,8.35266,6.72853,47.09976,10.20881,7.19257,60대 이상
2024-12-16,9.51276,4.64037,41.06728,12.29698,9.51276,60대 이상
2024-12-23,6.72853,3.01624,39.21113,9.97679,6.2645,60대 이상
2024-12-30,8.35266,7.19257,51.74013,6.2645,7.19257,60대 이상
2025-01-06,6.2645,15.54524,42.69141,10.44083,8.35266,60대 이상
2025-01-13,10.20881,8.8167,34.57076,6.2645,9.04872,60대 이상
2025-01-20,6.49651,6.96055,29.00232,11.60092,4.87238,60대 이상
2025-01-27,11.3689,4.87238,29.93039,6.72853,6.49651,60대 이상
2025-02-03,7.88863,6.2645,45.0116,11.60092,4.40835,60대 이상
2025-02-10,5.80046,6.96055,46.63573,7.65661,9.51276,60대 이상
